arm,color,label,lw,segment,x_disp,y_disp
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8666707,-6.9016367
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8598009,-6.8842841
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8528267,-6.8669646
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8457482,-6.8496788
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8385656,-6.8324272
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8312789,-6.8152107
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8238885,-6.7980296
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8163944,-6.7808848
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.8087969,-6.7637767
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.801096,-6.7467061
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.793292,-6.7296735
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7853851,-6.7126796
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7773754,-6.695725
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7692631,-6.6788102
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7610484,-6.661936
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7527315,-6.6451029
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.7443127,-6.6283116
3-kpc,#1a78b4,3 kpc Arm,2.4,display,-2.735792,-6.6115626
